num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
428.0,154.0,0.0,581.0,894.0,352358779.0,326180,2593,2.0,899.0,195000000.0,2011.0,829.0,6.3,2.35,46000
470.0,122.0,14000.0,1000.0,11000.0,317011114.0,333847,14959,2.0,2054.0,185000000.0,2008.0,1000.0,6.2,2.35,5000
298.0,93.0,113.0,113.0,275.0,123070338.0,62836,696,0.0,345.0,,2015.0,150.0,6.8,2.35,20000
488.0,93.0,56.0,838.0,2000.0,237282182.0,273556,5005,0.0,428.0,185000000.0,2012.0,1000.0,7.2,2.35,39000
322.0,122.0,681.0,105.0,998.0,130468626.0,53607,1327,4.0,432.0,185000000.0,2016.0,119.0,7.5,2.35,30000
421.0,98.0,475.0,522.0,1000.0,223806889.0,718837,2975,0.0,1043.0,180000000.0,2008.0,729.0,8.4,2.35,16000
162.0,91.0,420.0,173.0,268.0,140080850.0,121084,1125,2.0,221.0,140000000.0,2007.0,268.0,6.2,2.35,0
367.0,158.0,776.0,310.0,1000.0,166112167.0,283418,2144,0.0,1055.0,200000000.0,2009.0,468.0,5.8,2.35,13000
240.0,96.0,0.0,10000.0,18000.0,137850096.0,72809,48878,0.0,249.0,200000000.0,2009.0,14000.0,6.8,2.35,0
384.0,127.0,0.0,13000.0,17000.0,47375327.0,139593,47334,1.0,720.0,176000000.0,2015.0,15000.0,5.4,2.35,44000
248.0,110.0,282.0,103.0,11000.0,124051759.0,42372,21175,2.0,239.0,180000000.0,2016.0,10000.0,6.6,2.35,29000
284.0,150.0,80.0,82.0,1000.0,291709845.0,286506,1317,5.0,1463.0,180000000.0,2005.0,190.0,6.9,2.35,0
396.0,144.0,0.0,1000.0,34000.0,154985087.0,148379,49684,6.0,622.0,178000000.0,2016.0,13000.0,7.3,2.35,54000
645.0,152.0,22000.0,11000.0,23000.0,533316061.0,1676169,57802,0.0,4667.0,185000000.0,2008.0,13000.0,9.0,2.35,37000
408.0,96.0,0.0,262.0,1000.0,292979556.0,665575,2635,1.0,704.0,175000000.0,2009.0,848.0,8.3,1.85,27000
219.0,94.0,11.0,459.0,1000.0,198332128.0,114553,2579,2.0,187.0,175000000.0,2009.0,973.0,6.5,2.35,0
486.0,126.0,4000.0,4000.0,21000.0,318298180.0,696338,39252,3.0,1055.0,140000000.0,2008.0,12000.0,7.9,2.35,10000
682.0,126.0,17000.0,1000.0,17000.0,73820094.0,245333,36017,0.0,678.0,170000000.0,2011.0,16000.0,7.5,1.85,42000
85.0,106.0,188.0,582.0,10000.0,113745408.0,129601,15870,2.0,648.0,170000000.0,1999.0,4000.0,4.8,1.85,0
264.0,112.0,357.0,595.0,5000.0,102176165.0,117927,9131,2.0,501.0,145000000.0,2008.0,3000.0,5.2,2.35,0
418.0,123.0,452.0,329.0,10000.0,161087183.0,118992,11287,8.0,971.0,175000000.0,2016.0,336.0,6.9,2.35,80000
186.0,96.0,293.0,7000.0,87000.0,100289690.0,115099,108016,0.0,257.0,175000000.0,2007.0,11000.0,5.4,2.35,2000
585.0,113.0,218.0,509.0,10000.0,100189501.0,431620,12652,1.0,741.0,178000000.0,2014.0,854.0,7.9,2.35,77000
91.0,176.0,58.0,60.0,711.0,88246220.0,144337,1004,0.0,309.0,175000000.0,1995.0,60.0,6.1,1.85,0
250.0,118.0,208.0,570.0,23000.0,150167630.0,174578,26683,4.0,534.0,175000000.0,2009.0,2000.0,5.8,2.35,0
536.0,95.0,0.0,384.0,1000.0,356454367.0,345198,2944,1.0,773.0,175000000.0,2015.0,767.0,8.3,1.85,118000
370.0,106.0,4000.0,591.0,19000.0,362645141.0,106072,32921,0.0,398.0,175000000.0,2016.0,13000.0,7.8,1.85,65000
453.0,124.0,4000.0,4000.0,21000.0,312057433.0,522371,48638,4.0,723.0,200000000.0,2010.0,19000.0,7.0,2.35,18000
416.0,132.0,274.0,11000.0,26000.0,155111815.0,228554,72881,0.0,710.0,170000000.0,2012.0,17000.0,6.1,2.35,53000
401.0,97.0,171.0,846.0,11000.0,241407328.0,252257,15516,2.0,634.0,180000000.0,2014.0,2000.0,7.0,2.35,89000
521.0,130.0,198.0,884.0,10000.0,208543795.0,317542,14363,0.0,620.0,170000000.0,2014.0,2000.0,7.6,1.85,45000
10.0,109.0,596.0,283.0,622.0,,2138,1982,3.0,15.0,,2015.0,525.0,4.5,,677
218.0,128.0,47.0,982.0,18000.0,38297305.0,116994,20965,2.0,324.0,175000000.0,2013.0,1000.0,6.3,2.35,35000
576.0,136.0,94.0,2000.0,19000.0,259746958.0,496749,36188,1.0,742.0,170000000.0,2014.0,11000.0,7.8,2.35,55000
226.0,93.0,31.0,213.0,4000.0,238371987.0,138661,4628,2.0,173.0,165000000.0,2010.0,225.0,6.4,2.35,0
443.0,130.0,663.0,604.0,2000.0,93417865.0,128306,5046,2.0,497.0,190000000.0,2015.0,638.0,6.5,2.2,37000
384.0,102.0,38.0,562.0,756.0,222487711.0,279093,2963,0.0,433.0,165000000.0,2014.0,719.0,7.9,2.39,41000
377.0,101.0,66.0,833.0,975.0,189412677.0,272534,4451,1.0,345.0,165000000.0,2012.0,931.0,7.8,2.35,40000
188.0,100.0,0.0,267.0,15000.0,665426.0,120798,16264,0.0,444.0,165000000.0,2004.0,726.0,6.6,2.35,10000
286.0,120.0,776.0,535.0,890.0,102315545.0,58137,3233,0.0,520.0,165000000.0,2016.0,812.0,5.5,2.35,67000
288.0,98.0,255.0,759.0,18000.0,217387997.0,485430,20453,0.0,492.0,165000000.0,2010.0,953.0,8.2,2.35,33000
280.0,109.0,84.0,191.0,648.0,150350192.0,305340,1769,0.0,1676.0,200000000.0,2003.0,284.0,6.4,2.35,0
653.0,121.0,571.0,3000.0,14000.0,333130696.0,682155,32438,3.0,1097.0,170000000.0,2014.0,14000.0,8.1,2.35,96000
712.0,169.0,22000.0,6000.0,11000.0,187991439.0,928227,31488,1.0,2725.0,165000000.0,2014.0,11000.0,8.6,2.35,349000
642.0,148.0,22000.0,23000.0,29000.0,292568851.0,1468200,81115,0.0,2803.0,160000000.0,2010.0,27000.0,8.8,2.35,175000
1.0,120.0,28.0,12.0,544.0,,374,699,0.0,13.0,,2016.0,106.0,8.2,2.35,0
645.0,182.0,0.0,773.0,5000.0,303001229.0,637246,9152,,1367.0,180000000.0,2012.0,972.0,7.9,2.35,166000
187.0,106.0,357.0,4000.0,23000.0,144512310.0,272223,45327,2.0,988.0,38000000.0,2001.0,14000.0,6.7,2.35,14000
362.0,166.0,21000.0,919.0,11000.0,127490802.0,459346,13333,2.0,822.0,150000000.0,2008.0,1000.0,7.8,2.35,23000
500.0,132.0,905.0,1000.0,34000.0,146405371.0,518537,50983,3.0,698.0,160000000.0,2011.0,13000.0,7.8,2.35,54000
389.0,137.0,508.0,14000.0,34000.0,281666058.0,166137,81385,1.0,383.0,160000000.0,2015.0,22000.0,6.6,2.35,38000
235.0,109.0,226.0,370.0,12000.0,63143812.0,124185,13388,0.0,238.0,150000000.0,2010.0,418.0,6.1,2.35,11000
231.0,98.0,249.0,702.0,87000.0,60655503.0,82380,92456,0.0,629.0,160000000.0,2006.0,2000.0,5.6,2.35,0
218.0,113.0,33.0,11000.0,40000.0,76846624.0,21352,80806,1.0,131.0,170000000.0,2016.0,25000.0,6.4,1.85,30000
227.0,93.0,50.0,692.0,3000.0,320706665.0,211971,4705,2.0,326.0,160000000.0,2007.0,795.0,6.1,1.85,0
275.0,123.0,0.0,648.0,3000.0,46978995.0,111609,5505,0.0,781.0,160000000.0,2016.0,716.0,7.3,2.35,89000
474.0,126.0,230.0,2000.0,24000.0,89732035.0,188457,38873,2.0,867.0,155000000.0,2015.0,10000.0,6.6,2.35,82000
228.0,113.0,150.0,59.0,531.0,104383624.0,106446,764,4.0,227.0,155000000.0,2010.0,82.0,6.3,1.78,11000
191.0,184.0,0.0,691.0,3000.0,198539855.0,254111,5401,0.0,1999.0,140000000.0,2001.0,961.0,6.1,2.35,0
396.0,144.0,0.0,581.0,662.0,318759914.0,513158,2333,0.0,1782.0,150000000.0,2007.0,599.0,7.1,2.35,8000
248.0,206.0,0.0,591.0,12000.0,34293771.0,138863,24598,3.0,1390.0,155000000.0,2004.0,11000.0,5.5,2.35,0
329.0,138.0,282.0,687.0,21000.0,292000866.0,355137,33433,3.0,1108.0,150000000.0,2007.0,11000.0,7.5,2.35,0
295.0,157.0,179.0,10000.0,21000.0,289994397.0,385670,53413,1.0,1896.0,150000000.0,2005.0,11000.0,7.6,2.35,0
318.0,102.0,532.0,979.0,10000.0,227946274.0,343648,21584,0.0,590.0,150000000.0,2008.0,9000.0,6.4,2.35,0
323.0,104.0,508.0,558.0,10000.0,256386216.0,530870,13076,0.0,1413.0,150000000.0,2007.0,1000.0,7.2,2.35,11000
276.0,115.0,13000.0,588.0,40000.0,206456431.0,320284,57844,3.0,1361.0,150000000.0,2005.0,16000.0,6.7,1.85,0
318.0,111.0,663.0,954.0,1000.0,206435493.0,473887,4764,0.0,626.0,150000000.0,2007.0,1000.0,8.0,2.35,10000
478.0,128.0,22000.0,11000.0,23000.0,205343774.0,980946,59558,0.0,2685.0,150000000.0,2005.0,14000.0,8.3,2.35,15000
167.0,89.0,35.0,436.0,1000.0,179982968.0,146019,3285,0.0,119.0,150000000.0,2008.0,851.0,6.7,1.85,0
185.0,105.0,189.0,1000.0,49000.0,177243721.0,130272,54039,2.0,209.0,150000000.0,2009.0,3000.0,5.9,2.35,2000
350.0,119.0,151.0,2000.0,20000.0,179883016.0,361924,40054,0.0,641.0,150000000.0,2009.0,16000.0,6.7,2.35,0
245.0,129.0,0.0,233.0,309.0,139259759.0,364948,1062,0.0,2121.0,150000000.0,2003.0,269.0,6.7,2.35,0
406.0,102.0,69.0,490.0,1000.0,400736600.0,421658,2582,0.0,904.0,150000000.0,2013.0,523.0,7.6,2.24,58000
275.0,138.0,0.0,30.0,234.0,281492479.0,421818,534,0.0,2789.0,150000000.0,2003.0,198.0,7.2,2.35,0
486.0,112.0,230.0,12000.0,26000.0,206360018.0,414070,59803,3.0,532.0,170000000.0,2013.0,20000.0,7.1,2.35,63000
739.0,120.0,750.0,943.0,27000.0,153629485.0,552503,40025,0.0,1588.0,150000000.0,2015.0,9000.0,8.1,2.35,191000
298.0,146.0,2000.0,294.0,15000.0,133375846.0,207839,16948,2.0,435.0,150000000.0,2009.0,745.0,6.7,2.35,0
516.0,115.0,0.0,12000.0,26000.0,181015141.0,536314,60059,1.0,738.0,150000000.0,2011.0,20000.0,7.0,2.35,63000
225.0,96.0,59.0,699.0,17000.0,114053579.0,146766,20007,0.0,178.0,150000000.0,2008.0,759.0,6.9,1.85,0
145.0,88.0,12.0,182.0,730.0,119420252.0,33042,2217,0.0,90.0,150000000.0,2009.0,607.0,5.1,2.35,0
310.0,99.0,473.0,502.0,14000.0,83640426.0,152826,16184,0.0,253.0,150000000.0,2012.0,897.0,5.8,1.85,19000
526.0,113.0,13000.0,16000.0,40000.0,79711678.0,199039,80849,7.0,479.0,100000000.0,2012.0,17000.0,6.2,1.85,82000
465.0,131.0,188.0,641.0,10000.0,195000874.0,232187,21840,0.0,440.0,150000000.0,2015.0,10000.0,7.4,2.35,47000
357.0,119.0,394.0,162.0,12000.0,61937495.0,89442,13071,0.0,432.0,150000000.0,2010.0,490.0,5.8,1.85,0
248.0,110.0,282.0,103.0,11000.0,124051759.0,42372,21175,2.0,239.0,180000000.0,2016.0,10000.0,6.6,2.35,29000
194.0,91.0,58.0,826.0,2000.0,126597121.0,105902,6576,0.0,206.0,150000000.0,2007.0,852.0,6.2,1.85,0
284.0,90.0,90.0,15.0,11000.0,165230261.0,182718,21015,0.0,209.0,150000000.0,2011.0,10000.0,7.3,2.35,20000
280.0,103.0,0.0,346.0,1000.0,131564731.0,118951,2857,0.0,1382.0,150000000.0,2010.0,756.0,4.2,2.35,18000
310.0,124.0,14000.0,979.0,22000.0,133382309.0,256695,34817,0.0,871.0,150000000.0,2006.0,10000.0,6.9,2.35,0
339.0,131.0,776.0,256.0,17000.0,73103784.0,164238,18204,2.0,434.0,150000000.0,2013.0,551.0,6.4,2.35,33000
132.0,88.0,25.0,433.0,921.0,21379315.0,17590,2652,0.0,112.0,150000000.0,2011.0,562.0,5.4,2.35,0
135.0,85.0,42.0,586.0,20000.0,64459316.0,85086,35161,0.0,122.0,149000000.0,2006.0,14000.0,6.7,1.85,0
256.0,111.0,456.0,394.0,20000.0,34964818.0,39956,21393,4.0,186.0,150000000.0,2015.0,548.0,5.8,2.35,24000
196.0,92.0,50.0,517.0,3000.0,111505642.0,47900,5810,2.0,130.0,145000000.0,2014.0,1000.0,6.9,1.85,11000
220.0,196.0,249.0,844.0,11000.0,133228348.0,381672,17944,2.0,1694.0,175000000.0,2004.0,5000.0,7.2,2.35,0
211.0,93.0,35.0,436.0,851.0,216366733.0,119213,2444,0.0,154.0,145000000.0,2012.0,770.0,6.9,1.85,17000
264.0,133.0,93.0,746.0,769.0,160201106.0,169914,2538,0.0,1185.0,142000000.0,2002.0,766.0,6.1,2.35,0
464.0,116.0,176.0,322.0,783.0,118099659.0,69757,2097,4.0,1211.0,144000000.0,2016.0,370.0,5.5,2.35,62000
167.0,153.0,0.0,537.0,13000.0,201573391.0,322395,26029,0.0,1171.0,140000000.0,1998.0,12000.0,6.6,2.35,11000
208.0,88.0,188.0,826.0,10000.0,190418803.0,270207,14823,2.0,606.0,140000000.0,2002.0,3000.0,6.1,1.85,2000
287.0,115.0,0.0,964.0,18000.0,82161969.0,142440,31523,1.0,505.0,150000000.0,2007.0,12000.0,6.3,2.35,3000
210.0,95.0,5.0,967.0,24000.0,143523463.0,64322,36095,0.0,145.0,145000000.0,2016.0,11000.0,7.2,2.35,24000
432.0,133.0,663.0,690.0,10000.0,209364921.0,365104,21768,3.0,512.0,145000000.0,2011.0,10000.0,7.4,2.35,35000
256.0,97.0,52.0,161.0,20000.0,103400692.0,123553,20645,0.0,174.0,145000000.0,2012.0,315.0,7.3,1.85,25000
135.0,90.0,23.0,233.0,957.0,110332737.0,110788,1997,1.0,258.0,100000000.0,2005.0,550.0,6.1,2.35,2000
190.0,154.0,380.0,445.0,10000.0,111110575.0,317166,11945,1.0,928.0,140000000.0,2003.0,956.0,7.7,2.35,0
314.0,150.0,0.0,748.0,23000.0,65007045.0,128682,26490,0.0,657.0,140000000.0,2014.0,893.0,6.1,2.35,51000
518.0,127.0,14000.0,981.0,26000.0,257704099.0,504419,39284,0.0,1559.0,150000000.0,2009.0,12000.0,8.0,2.35,19000
291.0,121.0,0.0,4000.0,24000.0,403706375.0,544665,40484,0.0,2012.0,139000000.0,2002.0,11000.0,7.3,1.85,5000
292.0,102.0,255.0,953.0,18000.0,176997107.0,221128,23378,5.0,343.0,145000000.0,2014.0,3000.0,7.9,2.35,46000
184.0,126.0,295.0,284.0,18000.0,31141074.0,51892,19769,4.0,273.0,140000000.0,2016.0,934.0,5.5,2.35,24000
145.0,121.0,357.0,653.0,820.0,31704416.0,45455,2705,0.0,388.0,135000000.0,2005.0,780.0,5.0,2.35,0
451.0,215.0,0.0,413.0,986.0,107503316.0,392474,2530,1.0,1229.0,130000000.0,2009.0,745.0,7.7,2.35,18000
141.0,127.0,503.0,91.0,5000.0,129734803.0,127497,6171,2.0,287.0,140000000.0,1998.0,808.0,6.6,2.35,0
267.0,138.0,0.0,258.0,820.0,132122995.0,212106,1814,0.0,1445.0,137000000.0,2003.0,300.0,5.7,1.85,0
351.0,122.0,209.0,934.0,17000.0,122512052.0,146352,31958,6.0,288.0,130000000.0,2013.0,12000.0,5.8,2.35,42000
163.0,124.0,42.0,848.0,11000.0,68642452.0,77673,13073,3.0,463.0,130000000.0,2005.0,973.0,6.0,2.35,0
166.0,106.0,6.0,422.0,12000.0,32131830.0,72259,15015,1.0,788.0,137000000.0,2001.0,2000.0,6.4,1.85,0
510.0,124.0,394.0,2000.0,11000.0,176636816.0,508818,19761,0.0,679.0,140000000.0,2011.0,3000.0,6.9,2.35,46000
197.0,128.0,150.0,244.0,766.0,126930660.0,157519,2037,2.0,683.0,135000000.0,1999.0,536.0,6.4,2.35,2000
244.0,138.0,608.0,168.0,613.0,93926386.0,168207,1205,1.0,684.0,150000000.0,2003.0,172.0,7.4,2.35,0
322.0,115.0,386.0,12000.0,21000.0,292298923.0,185394,59177,3.0,329.0,120000000.0,2012.0,17000.0,5.5,2.35,65000
156.0,100.0,750.0,988.0,49000.0,63992328.0,32399,62644,0.0,79.0,135000000.0,2011.0,11000.0,5.9,2.35,0
354.0,135.0,255.0,882.0,3000.0,134518390.0,326286,5811,0.0,643.0,150000000.0,2008.0,1000.0,6.8,2.35,0
21.0,60.0,,184.0,982.0,,16769,1687,2.0,74.0,1500000.0,,321.0,7.5,1.33,0
252.0,117.0,14000.0,358.0,535.0,52792307.0,12572,1950,0.0,106.0,140000000.0,2016.0,400.0,6.8,2.35,27000
556.0,156.0,0.0,733.0,29000.0,183635922.0,406020,57108,0.0,1188.0,135000000.0,2015.0,27000.0,8.1,2.35,190000
166.0,96.0,13.0,463.0,16000.0,83024900.0,62424,17416,0.0,90.0,135000000.0,2013.0,881.0,6.5,2.35,13000
362.0,107.0,563.0,939.0,40000.0,123207194.0,183208,43291,0.0,337.0,135000000.0,2011.0,1000.0,7.2,2.35,26000
153.0,92.0,35.0,179.0,19000.0,83348920.0,60230,19963,0.0,118.0,132000000.0,2014.0,411.0,6.7,1.85,11000
329.0,115.0,521.0,883.0,13000.0,227137090.0,491077,17369,0.0,820.0,110000000.0,2007.0,897.0,8.1,2.35,0
266.0,92.0,54.0,562.0,11000.0,215395021.0,307029,12754,0.0,360.0,130000000.0,2008.0,967.0,7.6,2.35,6000
517.0,117.0,235.0,680.0,2000.0,180191634.0,313866,5730,6.0,549.0,130000000.0,2015.0,2000.0,7.4,1.85,61000
502.0,146.0,508.0,523.0,34000.0,424645577.0,498397,49355,1.0,706.0,130000000.0,2013.0,14000.0,7.6,2.35,82000
322.0,115.0,386.0,12000.0,21000.0,292298923.0,185394,59177,3.0,329.0,120000000.0,2012.0,17000.0,5.5,2.35,65000
165.0,94.0,12.0,183.0,17000.0,177343675.0,70121,17883,0.0,214.0,135000000.0,2015.0,523.0,6.7,1.85,26000
401.0,116.0,14000.0,807.0,10000.0,234277056.0,334345,12758,0.0,2741.0,132000000.0,2005.0,1000.0,6.5,1.85,0
94.0,147.0,0.0,877.0,10000.0,138396624.0,178126,12954,1.0,511.0,130000000.0,2003.0,898.0,6.6,2.35,0
246.0,90.0,50.0,397.0,4000.0,149234747.0,114287,5046,0.0,137.0,130000000.0,2011.0,442.0,6.7,2.35,16000
330.0,101.0,176.0,282.0,11000.0,118311368.0,245621,12406,1.0,514.0,110000000.0,2010.0,702.0,6.4,2.35,23000
434.0,138.0,0.0,8000.0,12000.0,101160529.0,200022,32355,2.0,1240.0,125000000.0,2014.0,9000.0,5.8,1.85,71000
440.0,107.0,14000.0,845.0,2000.0,77564037.0,177383,4631,1.0,447.0,135000000.0,2011.0,871.0,7.4,2.35,44000
274.0,142.0,0.0,10000.0,11000.0,249358727.0,382255,33284,3.0,1504.0,130000000.0,2004.0,10000.0,7.8,2.35,11000
245.0,165.0,1000.0,165.0,309.0,49551662.0,102338,921,0.0,450.0,130000000.0,2008.0,284.0,6.6,2.35,0
349.0,100.0,0.0,894.0,10000.0,60522097.0,158720,14168,0.0,744.0,130000000.0,2013.0,943.0,4.9,2.35,37000
145.0,82.0,0.0,388.0,1000.0,137748063.0,38438,2945,1.0,241.0,127500000.0,2000.0,558.0,6.5,1.85,0
1.0,,0.0,159.0,10000.0,,381,11036,1.0,2.0,,2011.0,570.0,7.5,,40
154.0,98.0,189.0,1000.0,49000.0,113733726.0,67223,53587,7.0,126.0,127000000.0,2014.0,3000.0,6.2,1.85,11000
233.0,95.0,96.0,8000.0,24000.0,148337537.0,172754,46120,3.0,187.0,130000000.0,2010.0,11000.0,7.3,2.35,13000
258.0,159.0,0.0,645.0,11000.0,317557891.0,444683,13191,4.0,1571.0,125000000.0,2001.0,687.0,7.5,2.35,16000
208.0,96.0,124.0,1000.0,16000.0,33592415.0,91640,31549,2.0,210.0,130000000.0,2013.0,12000.0,5.6,2.35,20000
